name,email
ABA,seanhkim@berkeley.edu
180 Degrees Consulting at Berkeley ,recruitment.berkeley@180dc.org
Abba Modern,abbamodern@gmail.com
5&2 Community Service,fiveandtwo.berkeley@gmail.com
3DMC,3dmc.berkeley@gmail.com
3D Modeling and Animation at Berkeley,3dma.at.berkeley@gmail.com
A Better Way at Berkeley,officers@abetterway.berkeley.edu
30 Minutes,
Acacia,cal5@acacia.org
Academic Cultural Enrichment Coaches,acecoaches@berkeley.edu
Active for Alzheimer's at Berkeley,afaberkeley@gmail.com
Aerospace SAE,calasae@gmail.com
Afghan Student Association,calasapresident@gmail.com
AFX Dance,afxdance@gmail.com
Aion - alpha Kappa Delta Phi,expansion@akdphi.org 
AI in Medicine at Berkeley,
Alianza Latine for Public Health Action (Formerly Alianza Latinx for Public Health Action),alianzagrads@gmail.com
Air Bears - Skydiving Club at Berkeley,AirBearsSC@gmail.com
ABC Sketches,abcsketches@gmail.com
Abolitionist Collective at Berkeley,berkeleyabolitionists@gmail.com
Alpha Chi Omega,axopichapterpresident@gmail.com
Alpha Chi Sigma Professional Chemistry Fraternity,axs.sigma.president@gmail.com
Active Minds,activemindsatberkeley@gmail.com
acts2fellowship,info@acts2fellowship.org
Alpha Delta Phi,info@aquadelt.org
"Alpha Epsilon Zeta Fraternity, Inc.",shahparams@berkeley.edu
Alpha Delta Pi,caladpipresident@gmail.com
Alpha Gamma Omega,vp@berkeley.ago.org
Alpha Epsilon Pi,
"Alpha Kappa Alpha Sorority, Inc.",rachelwilliamsano1908@gmail.com
"Alpha Phi Alpha Fraternity, Inc.",icecolddynasty@gmail.com
Alpha Phi Omega,president@calaphio.com
Alpha Phi,calalphaphipresident@gmail.com 
Alpha Rho Chi,calapx@gmail.com
Alpha Sigma Phi,
Alternative Investments Society of Berkeley,kvillacorta@berkeley.edu
Alternative Breaks,berkeleyaltbreaks@gmail.com
Alpha Tau Omega,ato.berkeley@gmail.com
Alternative Service Trips at Berkeley Law (Formerly known as Boalt on Break),blast@law.berkeley.edu
American Chemical Society at Berkeley Student Chapter ,acsberkeley@gmail.com
American Institute of Chemical Engineers,aiche.berkeley@gmail.com
American Indian Graduate Student Association,
American Advertising Federation,execs@calaaf.com
American Institute of Architecture Students,aiasberkeley@gmail.com
American Constitution Society at Berkeley,berkeleylawacs@gmail.com
American Lung Cancer Screening Initiative at Berkeley,info@alcsi.org
American Medical Student Association--Berkeley Premedical Chapter,berkeleyamsa@gmail.com
American Nuclear Society,president@ans.berkeley.edu
American Physician Scientist Association at Berkeley,berkeleyapsa@gmail.com
American Optometric Student Association,UCBTrustee@theaosa.org
American Sign Language at Berkeley,aslatberkeley@gmail.com
American Medical Women's Association at Berkeley,amwaberkeley@gmail.com
American Red Cross at Cal,americanredcrossatcal@gmail.com
American Society of Civil Engineers,calasceofficers@gmail.com
American Society of Landscape Architects,berkeleystudentasla@gmail.com
American Society of Mechanical Engineers,asme.cal@gmail.com
America’s ToothFairy at Berkeley,americastoothfairyatberkeley@gmail.com
American Water Works Association at Berkeley ,iyan88@berkeley.edu
Angkor Hospital for Children's Club ,ahcberkeley@gmail.com
Ancient Chinese Culture Club at Berkeley,
Animal Legal Defense Fund of Berkeley Law (Formerly Animal Law Society at Berkeley Law),katalina@berkeley.edu
Amigos,amigos.ucberkeley@gmail.com
Animal Spirits Writing Group,xanderlenc@berkeley.edu
ANova,executive@anova.berkeley.edu
Anti-Trafficking Coalition at Berkeley ,berkeleyantitrafficking@gmail.com
Arab Student Union,dghandour@berkeley.edu
Argentine Tango Club of Berkeley,ucbtango@gmail.com
Armenian Pre-Health Society,larazargarian99@berkeley.edu
Aquatic Ecosystems Club at Berkeley,
Armenian Student Association,CalBerkeleyASA@gmail.com
Anthropology Undergraduate Association,auaucberkeley@gmail.com
Army Color Guard,
Army ROTC Cadet Club,lalira@berkeley.edu
Artists in Resonance,artistsinresonanceucb@gmail.com
Arnold Air Society,estherykim@berkeley.edu
Art and Mind,artandmind.berkeley@gmail.com
Arts and Innovation Representation,lainey.joy@berkeley.edu
ASCE Sustainable Solutions,sustainablesolutions.berkeley@gmail.com
ASCEND,ascendberkeley.exec@gmail.com
"Asha for Education, Berkeley",berkeley@ashanet.org
Asian & Pacific Islander Women’s Circle,ucbsph.apiwc@berkeley.edu 
Asian American Association,ucberkeleyaaa@gmail.com
Asian American Law Journal,aalj@berkeley.edu
Asian American Research Journal,chiefeditor@aarj.berkeley.edu
Asian American Christian Fellowship,linda.chen@berkeley.edu
Asian Pacific American Law Students Association,berkeleyapalsa@gmail.com
Asian Pacific American Pre-Law Association,ucb.apapla@gmail.com
Asian Pacific Islander Social Worker Caucus ,
"Assistants, Therapists, And Practitioners at Berkeley",atpucberk@gmail.com
Association for Muslim Professional Development,hunaynanwar@berkeley.edu
Association of Chinese Entrepreneurs at Berkeley,aceberkeley@gmail.com
Association of Korean Artists,akaberkeley@gmail.com
Association for Socially Responsible Business,asrbatberkeley@gmail.com
Association of Molecular Environmental Biologists in Academia,mebstudentorg@gmail.com
Association of Public Health Infectious Disease Students at Berkeley,aphidsco@gmail.com
Association of Women in EE&CS,aweberkeley@gmail.com
ASUC - CalTV,exec@caltv.berkeley.edu
ASUC - Chief Grants Officer,grants@asuc.org 
ASUC - Innovative Design,innovativedesignatcal@gmail.com
ASUC - Helios Solar Program,
ASUC - Democratic Education at Cal,decalprogram@gmail.com
ASUC - Office of Academic Affairs,aavp@asuc.org
ASUC - Office of External Affairs,eavp@asuc.org
ASUC - Office of the Executive Vice President,evp@asuc.org
ASUC - Elections Council,
ASUC - Office of the President,president@asuc.org opchief@asuc.org
ASUC - Open Computing Facility,help (at) ocf.berkeley.edu
ASUC - Senate,senate@asuc.org
ASUC - Student Union Board,
ASUC - Student Legal Clinic,legalclinic@asuc.org
ASUC Appointed Officials Support Staff,
ASUC CGO Grants,grants@asuc.org
ASUC Admin Office,adminoffice@asuc.org
ASUC Commercial Revenue (Cal Lodge),
ASUC Disabled Students Commission ,disabledstudentscommittee@asuc.org
ASUC CGO Scholarships,grants@asuc.org
ASUC Executive Office Leadership Institute,
ASUC Diversity Affairs Commission ,diversityaffairscommission@asuc.org
ASUC Finance Office- Chief Finance Officer (CFO),
ASUC Financial Wellness Commission ,financialwellness@asuc.org
ASUC Housing Commission,housing@asuc.org
ASUC Intern Program,
ASUC Judicial Council,
ASUC Intimate Partner Violence Commission,
ASUC Legal Office - Chief Legal Officer (CLO),legal@asuc.org
ASUC Marketing and Communications Office- Chief Communications Officer (CCO),
ASUC Mental Health Commission,mentalhealthcommission@asuc.org
ASUC Office of Senator Amanda Hill,ahill@asuc.org
ASUC Office of Senator Ashley Rehal,arehal@asuc.org
ASUC Office of Senator Dil Sen,dsen@asuc.org
ASUC Office of Senator Adrianna Ngo,ango@asuc.org
ASUC Office of Senator Amy Chen,achen@asuc.org
ASUC Office of Senator Elif Sensurucu,esensurucu@asuc.org
ASUC Office of Senator Gabbi Sharp,gsharp@asuc.org
ASUC Office of Senator Griselda Vega Martinez,gvmartinez@asuc.org
ASUC Office of Senator Issabella Romo,iromo@asuc.org
ASUC Office of Senator Jerry Xu,jxu@asuc.org
ASUC Office of Senator Mehnaz Grewal,mgrewal@asuc.org
ASUC Office of Senator Jason Dones,jdones@asuc.org
ASUC Office of Senator Kalli Zervas,kzervas@asuc.org
ASUC Office of Senator Osirus Polachart,opolachart@asuc.org
